Kysymys;Oikea vaihtoehto;Väärä 1;Väärä 2;Väärä 3
Missä teoksessa on päähenkilönä Rodion Romanovits Raskolnikov?;Rikos ja rangaistus;Sota ja rauha;Tanssi yli hautojen;Tohtori Zivigo
Minkä niminen on suomalainen rock-vaikutteista lastenmusiikkia esittävä yhtye?;Fröbelin Palikat;Möpelin palikat;Fröbelin Nulikat;Nyberin Nulikat
Mikä on tokka?;Porolauma;Pieni eläin;Kranaatin osa;Muinainen kasvi
Mikä on Piin likiarvo?;3,14;1,11;3,54;2,41
Minkä alan edelläkävijänä 1815-1852 elänyttä Ada Lovelacea pidettiin?;Tietokoneohjelmointi;Moderni taide;Eläinlääketiede;Jääkiekko
Minkä niminen oli asu, jonka kyydissä Charles Darwin teki kuuluisan tutkimusmatkansa?;HMS Beagle;HMS Dachshund;HMS Chihuahua;HMS Rottweiler
Kenen mukaan on nimetty Pesusientä muistuttava sienilaji Spongiforma Squarepantsii?;Paavo Pesusienen;Super Marion;Aku Ankan;Heimo Huiman
Mikä sotilasarvo vastasi ratsuväessä maa- ja ilmavoimien vänrikkiä?;Kornetti;Ratsuvänrikki;Varavääpeli;Ratsumestari
Mikä on mm. Autiosaari-kappaleesta tutun laulaja-lauluntekijä Kilpeläisen etunimi?;Tuure;Kerkko;Niko;Tuomas
Mikä seuraavista peleistä ei kuulu racketloniin?;Ultimate;Pöytätennis;Tennis;Squash
Miksi kutsutaan jännettä, joka kulkee ympyrän keskipisteen kautta kehän laidalta toiselle?;Halkaisija;Viiva;Säde;Kulma
Mille paikkakunnalle Fennovoima aikoo rakentaa ydinvoimalan?;Pyhäjoelle;Loviisaan;Simoon;Kajaaniin
Mikä YouTube kanava teki musiikin Go! Homer Go!;Pootis Tv;Mansu Lan;Santtu;Jarna Saukkonen
Millä nimellä kutsutaan USA:n puolustusministeriön hallintorakennusta?;Pentagon;Oktopod;Antagon;Anagrammi
Mikä on Aki Kaurismäen Suomi-Trilogian avauselokuva vuodelta 1996?;Kauas pilvet karkaavat;Le Havre;Varjoja paratiisissa;Mies vailla menneisyyttä
"Ketkä kutsuvat itseään nimellä ""Belieber""?";Poptähti Justin Bieberin ihailijat;Parhaat ystävykset;Syvästi uskonnolliset henkilöt;Breakdance-tanssijat
Mikä on tämän kyselyn tekijän YouTube kanavan nimi?;Pootis Tv;Top5Fin;Finntop5;Ei mikään näistä
Kuinka vanha tämän kyselyn tekijä on?;13v;24v;16v;31v
